,ACC,ACC_std,NMI,NMI_std,PUR,PUR_std,model
3,0.8038095238095238,0.020292643573964295,0.7338675635986391,0.012199125708704543,0.8066666666666666,0.015238095238095252,Bag_mcles
1,0.72,0.05804056756263842,0.718118300592429,0.03331802445218841,0.7552380952380953,0.04767615623155744,mcles
2,0.6266666666666667,0.007126966450997959,0.6673881914202686,0.009195927894699137,0.6276190476190476,0.005553287518900267,Bag_mvgl
0,0.6,0.0,0.5957826073065335,0.0,0.6571428571428571,0.0,mvgl
