ACC,NMI,PUR,p,nw,typeweak
0.618095238095238,0.6566359011742463,0.6252380952380951,0.55,160,mvgl
0.6142857142857142,0.6560612558797723,0.6228571428571428,0.5,160,mvgl
0.6095238095238096,0.649655149862028,0.6290476190476191,0.55,80,mvgl
0.6085714285714285,0.6611015266959843,0.6299999999999999,0.55,120,mvgl
0.608095238095238,0.6461314222209227,0.6171428571428571,0.5,120,mvgl
0.6038095238095238,0.5977521600244502,0.660952380952381,0.9000000000000004,120,mvgl
0.6014285714285714,0.5962533488159941,0.6585714285714286,0.9000000000000004,40,mvgl
0.5966666666666666,0.6013137115543938,0.6538095238095238,0.9000000000000004,80,mvgl
0.5961904761904762,0.638567097795636,0.6357142857142856,0.6500000000000001,80,mvgl
0.5957142857142855,0.6384751745047016,0.629047619047619,0.6000000000000001,120,mvgl
0.5942857142857141,0.6051978058510248,0.6519047619047619,0.8500000000000003,40,mvgl
0.5933333333333334,0.6204760745575246,0.6019047619047619,0.5,80,mvgl
0.5890476190476189,0.6149858767802204,0.6466666666666667,0.8500000000000003,80,mvgl
0.586190476190476,0.6068997591685654,0.6433333333333332,0.8500000000000003,160,mvgl
0.5852380952380951,0.6084868659148388,0.6066666666666667,0.5,40,mvgl
0.5842857142857142,0.6192401838677871,0.6423809523809524,0.8000000000000003,160,mvgl
0.5838095238095237,0.6144272788860459,0.6414285714285715,0.8500000000000003,120,mvgl
0.5814285714285713,0.6256258734525442,0.6323809523809523,0.7000000000000002,40,mvgl
0.5809523809523809,0.6428136484760076,0.6266666666666666,0.6000000000000001,80,mvgl
0.5809523809523809,0.6275830755505398,0.6295238095238094,0.6500000000000001,40,mvgl
0.5809523809523809,0.6231036411686207,0.638095238095238,0.8000000000000003,120,mvgl
0.5804761904761904,0.627424459574656,0.6385714285714286,0.7000000000000002,160,mvgl
0.5804761904761904,0.6262026480626964,0.6371428571428571,0.7500000000000002,80,mvgl
0.5795238095238096,0.6335335305456936,0.630952380952381,0.6500000000000001,120,mvgl
0.5795238095238094,0.6222670541535515,0.6366666666666665,0.8000000000000003,80,mvgl
0.5785714285714285,0.6306324885151614,0.6295238095238096,0.6500000000000001,160,mvgl
0.5785714285714285,0.6261240071333598,0.6357142857142856,0.8000000000000003,40,mvgl
0.578095238095238,0.6382783700295045,0.629047619047619,0.6000000000000001,160,mvgl
0.578095238095238,0.6273148505440662,0.6352380952380952,0.7500000000000002,160,mvgl
0.5761904761904761,0.6229619144811009,0.6199999999999999,0.6000000000000001,40,mvgl
0.5757142857142856,0.6109047012614617,0.6314285714285713,0.7500000000000002,40,mvgl
0.5752380952380951,0.6254754077355533,0.6323809523809523,0.7500000000000002,120,mvgl
0.5752380952380951,0.6201882655888709,0.6261904761904762,0.7000000000000002,120,mvgl
0.5742857142857142,0.6098315747541543,0.6019047619047619,0.55,40,mvgl
0.5738095238095238,0.625495292954999,0.6319047619047617,0.7000000000000002,80,mvgl
0.5990476190476189,0.5961853298011344,0.6561904761904762,0.9000000000000004,160,mvgl
